	CON1	CON2	CON3	CON4	NPT1	NPT2	NPT3	NPT4
Mrpl40	164	204	188	203	303	299	267	249
Nmbr	1	1	0	3	0	1	4	0
Nme1	253	318	305	324	676	732	684	552
Nme2	772	1066	1059	1079	2021	2015	1762	1885
Nqo1	109	133	136	209	338	551	688	301
Nqo2	526	794	696	669	706	653	475	560
Cd244a	0	0	0	0	0	0	0	0
Nmt1	1004	1272	985	1269	1877	1933	1299	1012
Nmt2	565	699	593	692	851	863	641	631
Mycn	17	27	18	28	32	11	13	8
Nnat	165	215	127	166	198	155	121	95
Nnmt	125	149	125	135	162	128	94	133
Rrp1	654	835	654	913	1299	1163	752	564
Nnt	742	968	736	966	1110	882	498	609
Emc8	404	512	403	549	610	581	435	366
Nodal	6	10	3	9	12	6	5	5
Mrpl49	253	364	252	301	466	384	264	288
Nog	2	1	0	0	8	5	1	1
Nr4a3	98	110	221	295	145	102	140	149
Nos1	1	1	2	4	13	1	1	1
Nos2	52	76	43	56	91	45	19	21
Nos3	314	404	260	418	698	556	326	215
Notch1	3158	3517	2459	3641	4990	3399	2027	1693
Notch2	4644	5391	4435	5953	6234	5456	3901	3430
Ints6	1110	1304	1296	1315	1740	1952	1704	1621
Notch3	1449	1645	885	1801	2304	1262	618	539
Notch4	1576	1746	1061	1893	2942	1980	1090	832
Ccn3	136	103	90	159	126	203	128	97
Zfp638	3167	4161	4339	3924	4625	4674	3852	4455
Uhrf1	45	99	65	78	125	71	64	94
Nup50	645	705	626	755	1075	858	625	551
Npas1	17	4	10	7	18	7	14	8
Npas2	0	0	0	0	0	0	0	0
Npc1	1776	2508	2051	2428	2552	2402	1615	1701
Npdc1	389	416	301	446	663	421	253	229
Npm1	1957	2702	2664	2779	3368	3522	3594	3531
Npm3	116	140	157	170	289	243	245	284
Pnoc	6	3	4	3	0	3	1	3
Nppb	0	0	0	0	1	1	6	5
Nppc	0	0	0	0	0	0	0	0
Npr1	1852	2251	1686	2204	2689	2095	1146	1091
Npr3	1992	2214	2962	2153	1818	1728	1709	1103
Ctnnd2	142	185	171	149	121	107	84	66
Nptx1	142	178	70	186	188	105	76	43
Npy1r	76	110	71	64	62	73	23	51
Npy2r	1	0	0	0	0	0	1	8
Npy5r	0	0	0	0	0	0	2	1
Npy6r	0	0	0	0	0	0	1	3
Nr1i2	16	16	22	16	12	3	7	7
Slc11a1	0	0	0	0	0	0	0	0
Slc11a2	697	764	530	964	873	735	540	450
Nrap	47	52	39	94	121	96	62	45
Nras	1705	1976	1868	2003	2883	2558	2215	1996
Nrf1	944	1207	988	1157	1297	1057	740	695
Nrg3	3	0	0	0	0	0	1	5
Nrl	0	0	0	0	0	0	2	0
Nrp1	8203	10754	8992	9546	12647	10252	5683	6697
Nrp2	0	0	0	0	0	0	0	0
Nrtn	7	10	6	11	14	17	9	9
Nrxn1	100	107	104	139	143	86	74	94
Nrxn2	201	177	103	168	217	225	103	139
Nrxn3	23	20	7	12	26	20	8	17
Nsd1	6460	8407	6907	7971	9505	8439	6622	5895
Nsdhl	165	193	220	183	203	218	139	167
Nsf	571	714	621	665	1098	1141	858	624
Nsg1	269	335	240	276	713	509	319	250
Nsg2	29	21	37	33	23	3	16	9
Musk	8	5	11	9	30	6	8	17
Nsmaf	1673	2001	1792	2231	1870	1642	1305	1385
Ntan1	393	458	394	433	526	542	392	420
Ntf3	28	38	33	45	36	54	48	29
Nthl1	132	139	105	102	179	147	74	105
Ntn1	1313	1538	1092	1463	2716	1835	844	811
Ntn3	107	96	68	102	137	165	94	101
Ntrk1	3	6	6	6	13	10	2	3
Ntrk2	149	406	226	182	1141	239	117	261
Ntrk3	108	141	66	114	160	107	72	63
Ddr2	0	0	0	0	0	0	0	0
Ntsr1	0	0	0	0	3	1	1	1
Ntsr2	0	4	0	0	0	2	0	1
Dusp8	208	310	220	288	480	410	409	209
Nucb1	1179	1413	980	1413	1892	1514	874	713
Nudc	482	652	458	658	872	741	527	404
Numb	909	1146	880	1087	1919	1489	903	755
Numbl	237	260	193	268	447	346	222	176
Nup62	236	264	215	262	385	337	235	190
Nr4a2	100	108	159	196	116	117	147	88
Nxn	266	267	210	278	445	317	158	187
Nxph1	24	17	7	21	7	16	17	28
Nxph2	0	0	0	0	2	1	9	2
Gpr143	0	0	2	2	8	6	3	5
Oat	2213	3422	2779	3659	3833	3971	3414	2881
Oaz1	1772	1887	1433	2121	2655	2303	1382	1579
Oaz2	2046	2280	1576	2541	2353	1780	1132	1115
Obp1a	0	0	0	0	0	0	0	0
Oc90	9	5	7	2	13	12	19	12
Ocln	1195	1659	1501	1642	1798	1670	1419	1247
Ocm	0	1	0	0	1	0	2	1
Odc1	941	1118	898	1227	2249	2019	1844	1389
Odf1	0	0	0	0	0	2	0	2
Odf2	959	1002	777	1194	1206	1129	784	688
Nobox	1	1	2	2	3	3	6	4
Sebox	1	2	1	6	1	4	4	4
Ogdh	2866	3690	2531	3657	5341	4947	3454	2743
Ogg1	92	102	89	133	168	153	101	74
Ogn	6029	7404	9379	7627	5788	5793	3666	7065
Fam3d	53	49	34	78	22	17	6	8
Fxyd5	217	337	284	377	486	432	355	284
Oit3	20	26	20	15	53	50	30	34
Or2y1b	2	0	0	0	1	0	0	0
Or2a7	3	1	0	0	0	0	0	2
Or2c1	2	0	0	0	2	1	3	3
Or10j5	0	0	0	0	0	0	0	0
Or10a4	0	0	1	0	0	0	0	1
Or7e178	0	0	0	0	3	1	6	0
Or7a40	0	0	0	0	0	0	0	4
Or6a2	0	0	0	0	0	0	1	0
Or1e17	0	0	0	0	0	0	0	0
Or1m1	0	0	0	1	0	0	0	0
Or8c9	0	0	0	0	0	0	0	0
Or8d1	0	0	0	0	0	0	0	0
Or1j1	0	0	0	0	0	0	0	0
Or2z2	0	0	0	0	0	0	0	0
Or2t1	0	2	0	0	0	0	0	1
Or4b1d	0	0	0	0	0	0	0	1
Or51a39	0	1	6	7	3	4	2	0
Or2w1	0	0	0	0	0	0	0	0
Or8g20	0	0	0	0	0	0	0	2
Or13a17	0	0	0	1	1	1	0	0
Or13a18	0	0	0	1	0	0	1	0
Or2a57	5	5	1	3	2	1	1	0
Or4c58	0	0	0	0	0	0	1	0
Or6e1	0	0	0	0	2	5	4	2
Or6z7	0	0	0	0	0	0	0	0
Or1j21	0	0	0	0	0	0	0	4
Or1ad8	0	0	0	0	0	0	0	0
Or8u8	0	0	0	0	0	0	0	1
Or1x2	0	0	0	0	2	4	0	1
Or2v1	0	0	0	1	2	1	1	1
Or7a41	0	0	1	0	1	1	0	4
Or7e165	0	0	0	0	0	0	0	0
Or1p1	0	0	0	0	0	0	0	3
Or13a27	0	6	1	4	3	0	0	2
Or13a28	0	0	0	0	0	0	0	0
Or13p10	0	0	0	0	0	0	0	0
Or51b6	0	0	0	0	0	0	0	1
Or51b17	0	0	0	0	0	0	0	0
Or51b4	0	0	0	0	0	0	0	0
Or52z1	0	0	0	0	0	0	0	0
Or52a5	0	0	0	0	0	0	0	2
Or52a5b	0	0	0	0	0	0	0	1
Or7a42	1	0	0	0	0	0	0	0
Or10p22	0	0	0	0	0	0	0	0
Omg	134	151	138	166	179	162	122	108
Omp	31	15	14	24	34	13	14	16
Omt2a	0	0	0	0	3	1	6	0
Tnfrsf11b	80	68	57	47	71	53	34	64
Oprd1	11	7	3	7	10	6	5	4
Oprk1	0	0	0	0	0	0	0	0
Oprl1	1	0	1	1	0	6	5	4
Oprm1	6	15	11	6	10	14	12	9
Sigmar1	183	185	147	186	267	279	191	125
Orc1	39	52	38	51	80	71	51	54
Orc2	0	0	0	0	0	0	0	0
Slc22a6	0	1	0	0	12	9	21	8
Slc22a18	69	75	68	101	77	76	48	37
Orm1	5	25	8	11	56	88	76	56
Orm2	52	51	40	47	59	39	35	35
Orm3	40	39	32	36	49	72	32	26
Slc25a15	197	240	169	245	385	315	296	216
Sqstm1	2890	3975	3181	3897	7274	8409	7460	4341
Osm	16	20	28	10	30	13	26	22
Osmr	1142	1634	1553	1459	2642	2783	2333	1870
Hspa4l	1723	2526	2448	2715	1785	1727	1454	1647
Otc	11	10	19	21	38	18	12	30
Cldn11	0	3	3	10	0	5	0	0
Otog	2	0	0	0	0	1	0	3
Otp	0	0	0	0	0	0	0	1
Ott	0	0	0	0	0	0	0	0
Otx1	15	10	6	26	8	2	3	4
Otx2	0	0	0	0	0	0	0	6
Ovol1	35	34	24	43	97	84	66	65
Oxt	2	2	0	1	1	1	2	2
Oxtr	1	2	2	0	6	3	11	4
Oca2	0	0	0	0	1	6	12	2
Mybbp1a	731	852	609	949	1790	1654	1353	856
P2rx1	26	55	25	29	38	37	33	13
P2rx4	583	779	634	844	797	701	420	427
P2rx7	379	574	424	510	575	440	237	245
P2rx6	180	151	124	230	65	48	30	39
P2ry1	87	104	98	77	98	85	73	106
P2ry2	129	189	151	175	240	259	172	136
P4ha1	1168	1782	1529	1631	2113	2045	1656	1478
P4ha2	362	559	491	525	856	937	716	561
P4hb	4869	6717	5113	6518	11396	10416	8312	6764
Bloc1s6	241	267	244	299	391	347	280	233
Pabpc1	3136	3743	3518	3892	4873	4482	4116	3893
Pabpc2	0	2	1	1	5	0	0	1
Pafah1b1	5312	6552	6474	6823	8435	8602	8107	7083
Pafah1b2	1537	1913	1690	1852	2371	2525	2024	1846
Pafah1b3	71	108	85	109	113	107	84	99
Prdx1	2905	4048	4249	4121	5222	5961	6827	6846
Pah	0	0	1	0	0	0	0	2
Pak1	283	395	292	382	353	349	333	299
Pak3	60	75	43	64	111	159	297	107
Palm	207	242	160	234	462	345	194	194
Pam	0	0	0	0	0	0	0	0
Cntn3	1	3	3	0	5	0	4	5
Reg3b	1	1	0	0	1	0	0	0
Pappa	100	151	175	97	271	333	324	202
Pax1	0	0	0	0	3	1	1	9
Pax2	0	0	0	0	3	0	1	4
Pax3	0	0	0	0	0	0	0	0
Pax4	0	0	0	0	0	0	3	2
Pax5	288	331	198	369	213	90	68	70
Pax6	3	5	7	9	6	8	3	7
Pax7	2	2	1	5	0	0	1	1
Pax8	0	1	0	0	0	0	0	2
Pax9	34	23	12	31	0	0	4	12
Pbx1	0	0	0	0	0	0	0	0
Pbx2	506	568	518	610	817	788	471	510
Pbx3	333	328	327	322	386	347	279	257
Igbp1	380	614	518	637	666	691	574	532
Kat2b	1790	2357	2263	2220	2874	2668	2039	2167
Pcbp2	1219	1497	1358	1617	2047	1887	1434	1242
Pcdh10	3	0	2	1	11	15	21	10
Pcdh8	0	0	0	0	0	1	2	0
Pck1	61	113	52	127	123	100	120	79
Pcm1	3459	4573	4555	4294	4421	4376	3598	4167
Pcmt1	828	978	953	1080	1218	1196	986	919
Pcna	468	761	673	733	968	1064	1063	1051
Pcnt	2578	2974	2269	3195	3808	2875	2085	1864
Pcolce	820	1047	645	993	1112	870	518	628
Pcp2	6	7	1	5	3	4	6	4
Pcp4	6	4	0	0	5	8	3	5
Pcsk1	22	32	32	49	35	58	44	55
Pcsk2	2	0	1	1	4	5	6	3
Furin	1007	1165	862	1249	2108	1795	1241	737
Pcsk4	25	38	12	37	24	17	17	12
Pcsk5	680	812	557	759	1197	1099	877	652
Pcsk6	170	221	163	283	380	250	172	159
Pcsk7	791	958	795	1127	1278	1240	823	709
Cdk16	830	1014	733	972	1396	1194	859	733
Cdk18	0	0	0	0	0	0	0	0
Pctp	156	190	157	193	246	271	156	162
Pcx	760	845	660	1107	1108	1126	887	740
Pdcd1	0	0	0	0	0	0	0	0
Pdcd2	216	274	234	273	305	374	266	269
Pdcd4	916	1088	833	1099	855	764	599	655
Pdcd6	468	606	561	608	839	980	889	777
Pdcd6ip	2185	2653	2323	2604	3557	3541	2843	2541
Pdcd11	855	949	789	969	1358	1252	829	753
Pde1a	64	98	77	78	214	162	120	147
Pde1b	141	141	134	141	178	212	185	133
Pde1c	42	52	33	64	35	27	33	27
Pde3b	417	494	454	506	387	356	337	372
Pde4a	180	187	149	188	233	190	123	90
Pde4b	1258	1929	2177	1508	3065	1663	1147	1463
Pde6d	0	0	0	0	0	0	0	0
Pde7a	1607	1900	1805	1997	2108	1930	1382	1824
Pde8a	476	518	499	529	655	639	482	481
Pde9a	466	513	520	460	984	782	444	361
Pde6b	41	54	29	55	31	9	20	6
Pde6g	6	7	1	5	7	3	3	1
Pdgfa	1169	1312	1043	1297	1219	987	604	704
Pdgfb	1131	1425	967	1447	1559	968	574	381
Pdgfra	6338	7657	7747	7668	11479	12169	9213	6392
Pdgfrb	1919	2346	1463	2315	3392	2183	1228	743
Pdha1	1283	1703	1347	1820	2272	2312	1902	1712
Pdha2	0	0	0	0	0	0	0	0
Padi1	9	12	8	12	0	3	1	4
Padi2	64	80	61	112	73	36	35	42
Padi3	2	0	0	1	4	0	0	1
Padi4	18	45	30	31	47	63	17	30
Pdk2	236	250	166	232	294	230	129	120
Enpp1	138	162	129	160	133	155	155	139
Enpp2	965	1292	978	1287	1148	917	605	741
Pdpk1	1859	2301	2160	2523	2749	2792	2266	1943
Pdx1	0	0	0	0	0	0	0	2
Pdyn	0	0	0	0	1	1	1	1
Pea15a	0	0	0	0	0	0	0	0
Etv4	12	6	9	5	27	23	23	14
Pecam1	6145	9022	6536	7693	13564	10390	6070	4078
Peg3	544	760	707	666	972	741	573	560
Rhox5	3	0	0	4	1	0	3	1
Pemt	14	18	27	24	34	14	21	31
Penk	32	27	19	35	31	17	13	9
Pepd	447	519	413	595	742	656	432	436
Per1	1148	755	1160	1346	2525	2204	1909	1539
Per2	0	0	0	0	0	0	0	0
Per3	1512	1425	1024	1643	1268	1254	826	1001
Dcaf8l	0	0	0	0	0	0	1	1
Pex11a	92	116	122	152	213	215	172	174
Pex11b	199	294	213	288	414	351	230	213
Pex16	203	244	167	255	325	326	236	186
Pex7	342	491	426	545	428	462	397	376
Cfp	132	197	164	181	230	164	151	195
Pfdn2	0	0	0	0	0	0	0	0
Pfkfb1	34	51	50	63	97	115	106	105
Pfkfb2	0	0	0	0	0	0	0	0
Pfkl	477	715	457	663	1173	927	473	482
Pfkm	267	341	219	359	437	343	180	144
Pfn1	829	1142	906	1172	1730	1936	1319	977
Pfn2	253	285	252	343	332	289	272	281
Prf1	46	69	32	99	42	34	23	30
Cdk14	1867	2490	2305	2223	3258	2592	1745	1729
Pgam1	269	330	245	326	517	472	347	299
Pgf	38	28	30	41	185	164	119	65
Pgk1	726	1021	821	1097	1770	1985	1833	1415
Pgk2	0	0	0	0	0	0	0	2
Pgr	180	246	190	248	122	65	75	72
Abcb1b	71	90	87	112	321	356	327	215
Abcb4	14	10	16	17	23	8	16	10
Abcb1a	814	1168	999	999	1668	1363	722	712
Phb1	387	500	457	590	840	849	697	623
Slc25a3	1709	2023	1555	2340	3186	3275	2419	1986
Phex	109	142	150	194	100	134	115	103
Phf2	942	1169	784	1101	1414	1145	647	570
Phka1	809	1008	1008	1012	1374	1291	1146	1025
Phkg1	28	40	23	50	81	68	56	60
Phtf1	665	894	752	966	880	791	583	640
Pick1	229	238	194	303	273	247	190	167
Piga	212	239	219	227	395	408	326	314
Pigf	80	101	75	123	130	143	155	128
Pigr	0	0	0	0	0	0	0	0
Pik3c2a	2826	3636	4033	3720	4794	5190	4826	4808
Pik3c2g	94	112	93	111	79	64	63	115
Pik3ca	3091	3799	3665	3712	4726	4667	4030	3425
Pik3cd	458	603	419	593	550	335	248	236
Pik3r1	3235	4058	3517	3825	4515	4416	2709	2765
Pik3r2	360	438	283	492	614	489	315	232
Pik3r3	599	803	724	843	865	833	513	537
Pikfyve	0	0	0	0	0	0	0	0
Pim1	306	391	386	436	718	619	372	351
Pim2	82	62	65	95	85	55	40	48
Pip	0	0	0	0	0	0	3	0
Pip5k1c	880	1012	770	1096	1473	1056	699	533
Pip4k2a	487	571	511	605	621	504	335	415
Pip5k1b	291	373	385	360	456	482	408	390
Pip5k1a	517	597	408	636	801	766	547	459
Pira1	5	8	12	11	22	28	20	19
Pira2	9	20	16	12	16	11	14	17
Lilra6	31	44	50	51	61	48	41	48
Pirb	216	284	345	341	381	378	370	389
Pou1f1	0	6	3	10	7	7	7	4
Pitpna	1427	1757	1333	1891	2498	2413	1803	1361
Pitpnm1	506	599	508	626	901	794	560	466
Pitx1	0	3	2	4	1	4	0	5
Pitx2	0	4	2	3	8	3	2	2
Pitx3	0	0	0	0	1	0	1	1
Pja1	467	622	472	572	878	750	492	423
Pkm	3020	3888	2991	3873	8479	8748	7391	4791
Prkaca	631	775	529	710	1127	986	551	467
Prkacb	1545	1955	1456	1812	2400	2062	1418	1365
Prkca	1010	1061	1031	1058	1582	1632	1125	898
Prkcb	623	644	518	697	421	262	172	263
Prkcg	64	72	44	109	97	71	53	55
Prkcd	968	1355	1031	1224	1513	1534	1056	999
Prkce	1188	1362	1129	1139	1349	1036	597	570
Prkch	1638	1984	1512	1884	3116	2532	1416	1297
Prkci	2507	3301	3122	3224	4132	4392	3710	3150
Prkd1	612	738	689	711	849	739	588	577
Prkcq	148	252	234	198	258	173	134	89
Prkcz	1107	1175	1024	1319	1322	1005	590	773
Pkd1	6017	7007	4665	6945	9040	6274	4038	3417
Pkd2	2235	2941	2627	2577	4549	3959	2921	2390
Pkdrej	24	44	32	36	49	55	42	36
Pkia	583	838	896	788	975	755	608	959
Pkib	51	65	73	110	54	67	72	76
Pkig	163	158	161	159	197	196	100	88
Pklr	1	9	1	4	1	2	5	2
Pknox1	392	486	434	527	603	561	375	320
Pkp1	0	0	0	0	0	0	0	0
Prl3d1	0	0	0	0	0	0	0	3
Prl3b1	0	0	0	0	0	0	0	0
Lypla1	0	0	0	0	0	0	0	0
Pla2g1b	28	33	29	40	24	17	21	27
Pla2r1	881	1150	865	1110	835	657	412	670
Pla2g2a	0	0	0	0	0	1	0	0
Pla2g2c	15	11	2	5	3	4	4	5
Pla2g2d	15	20	7	24	0	3	0	6
Pla2g4a	0	0	0	0	0	0	0	0
Pla2g5	10	18	7	5	6	2	2	0
Plaa	943	1025	1132	1132	1601	2019	1863	1546
Serpine1	182	248	261	332	1176	1324	1131	505
Serpinb2	0	0	0	0	0	0	0	0
Papola	2505	3133	2832	3144	3564	3178	2595	2513
Plat	418	592	559	521	1469	1624	1442	823
Plau	94	118	115	110	280	248	243	118
Plaur	270	318	332	340	1055	1275	1187	479
Plcb1	1925	2421	2184	2045	2500	1283	687	1027
Plcb2	483	587	461	554	491	356	269	341
Plcb3	988	1302	910	1283	1886	1457	810	833
Plcb4	1842	2020	2041	2178	3896	3776	2891	2294
Plcd1	129	163	117	176	327	258	169	141
Plcd4	0	0	0	0	0	0	0	0
Plcg1	2369	2900	2074	2866	3158	2663	1448	1578
Pld1	702	930	842	915	1178	1032	861	853
Pld2	498	587	393	594	821	762	506	421
Pld3	450	567	461	679	715	653	491	487
Plec	7529	8655	5499	9043	18656	13300	7812	5413
Prl2c2	0	0	0	1	0	2	0	0
Prl2c3	40	76	55	64	63	67	69	62
Pa2g4	543	620	494	667	1137	1111	922	646
Prl7d1	0	0	0	0	0	0	0	1
Plg	1	2	1	1	3	2	1	4
Serpinf2	8	3	3	5	13	8	6	7
Plk1	31	26	13	21	20	16	17	12
Pln	267	441	374	621	502	558	460	446
Plod1	353	475	324	407	773	705	407	365
Plp1	52	44	47	72	56	63	34	45
Plp2	217	335	238	342	484	617	514	293
Lcp1	2686	3663	3315	3721	3252	2696	2302	2624
Plscr2	597	755	724	670	1141	953	547	871
Ccl21a	288	502	347	319	265	167	103	158
Pltp	2164	2546	1415	2841	2340	1096	494	595
Bpifa1	3941	8265	3905	9933	917	128	342	1810
Plxna1	4019	5041	3472	5115	6813	5021	3144	2062
Plxna2	0	0	0	0	0	0	0	0
Plxna3	187	183	106	214	158	127	92	89
Pml	647	736	506	777	819	530	331	292
Pmp2	0	1	0	0	1	2	4	1
Pmp22	4171	5133	4932	4860	6222	5317	3422	4285
Pms2	581	714	592	944	606	523	368	385
Prrx1	0	0	0	0	0	0	0	0
Phox2b	0	0	0	1	1	3	1	3
Ppp1r14b	155	184	148	228	464	467	369	259
Pnliprp1	5	2	1	9	2	5	7	1
Pnliprp2	0	1	0	0	0	1	0	1
Pnmt	10	4	3	4	13	14	11	13
Pnn	724	902	719	887	1000	889	802	730
Pnp	430	673	610	649	1073	980	884	674
Septin5	46	54	38	88	93	73	57	45
Septin4	1568	2095	1605	1710	2081	1957	966	1066
Pola1	350	479	435	486	501	498	418	460
Pola2	260	246	174	248	329	238	153	131
Polb	334	429	401	413	495	471	328	429
Pold1	241	245	196	267	411	375	197	179
Pold2	119	140	88	135	238	205	146	109
Pole	65	99	89	101	117	120	104	100
Pole2	75	118	85	88	96	111	85	75
Polg	1266	1449	1118	1497	2214	1762	1251	1283
Pomc	4	6	6	3	12	10	8	5
Pon1	732	1380	1582	1326	322	409	410	405
Cnot7	833	1002	925	1011	988	985	925	844
Por	2134	2803	1935	3930	2448	2630	1850	1338
Pou2af1	148	139	125	182	100	56	58	68
Pou2f1	0	0	0	0	0	0	0	0
Pou2f2	62	66	69	88	74	14	13	26
Pou2f3	1	5	0	1	1	3	6	2
Pou3f1	0	1	2	0	22	13	9	5
Pou3f2	0	0	0	4	3	0	4	5
Pou3f3	0	0	0	0	0	0	0	0
Pou3f4	0	0	0	0	0	1	0	1
Pou4f1	0	2	4	8	5	1	1	7
Pou4f2	0	0	0	0	0	1	1	0
Pou4f3	0	0	0	0	0	0	3	0
Pou5f1	0	0	0	0	0	0	0	3
Pou6f1	402	511	348	492	551	382	221	272
Endou	63	83	44	78	88	75	47	71
Plpp1	1591	1884	1493	1704	3850	3464	2097	1634
Ppara	147	193	175	183	262	236	160	192
Med1	1248	1520	1244	1585	1821	1550	1071	1018
Ppard	136	166	145	171	275	157	120	107
Pparg	155	197	190	234	187	256	252	206
Ppargc1a	160	195	149	246	141	209	207	121
Scand1	3	0	1	3	0	0	4	1
Ppef2	56	82	71	87	34	24	32	30
Ppfibp2	1040	1311	1123	1358	1367	1095	671	858
Ctsa	985	1410	1045	1467	1682	1433	931	967
Sypl1	2989	3170	3087	3267	3349	3387	2444	2977
Ppib	508	814	699	793	932	1015	802	756
Ppic	907	1342	960	1136	1418	1438	1143	1036
Lgals3bp	506	585	471	726	975	714	366	329
Ppl	1344	1646	1394	1664	3316	4444	4033	2231
Ppm1a	1610	1919	1861	1881	2657	2338	1936	1729
Ppm1b	1580	1815	1707	1895	1898	1956	1428	1531
Ppox	0	0	0	0	0	0	0	0
Ppp1ca	1364	1958	1519	1873	3107	2896	1965	1814
Ppp1cb	4643	5274	5459	5183	5915	6510	5795	6308
Ppp1cc	943	1138	936	1123	1755	1470	1088	1201
Ppp1r1b	36	57	41	58	66	79	49	50
Ppp1r17	0	0	0	0	0	0	3	0
Ppp2ca	2003	2578	2494	2547	3526	3787	3335	2942
Ppp2cb	920	1138	969	1052	1603	1435	1224	1212
Ppp2r3d	318	303	240	379	358	329	233	171
Ppp3ca	3555	4046	4133	3875	5393	4713	3550	4109
Ppp3cb	1337	1477	1526	1509	1646	1714	1350	1665
Ppp3cc	653	664	652	809	712	647	557	535
Ppp3r1	1149	1308	1321	1332	1652	1718	1509	1662
Ppp3r2	1	7	1	6	3	5	4	4
Ppp5c	449	592	476	550	853	763	552	451
Inpp5k	1014	1268	1015	1235	1881	1466	812	855
Ppt1	796	1148	1041	1031	967	895	665	774
Ppy	0	1	3	1	22	8	8	5
Npy4r	2	1	0	8	2	0	1	0
Nup88	562	755	617	663	881	930	708	583
Mob4	0	0	0	0	0	0	0	0
Prep	1313	1576	1308	1591	1517	1429	964	980
Srgn	1020	1337	1430	1330	1879	1586	1659	1146
Prg2	0	2	1	0	2	1	1	4
Prim1	61	103	87	107	103	118	130	103
Prim2	0	0	0	0	0	0	0	0
Prkab1	359	465	317	466	620	704	570	391
Prkag1	646	726	618	777	1159	1035	762	733
Prkar1a	4121	4620	3831	4840	4911	4683	3554	3272
Prkar1b	176	224	197	246	262	249	130	147
Prkar2a	1317	1606	1357	1539	2398	2346	2110	1482
Prkar2b	330	567	541	603	416	394	382	420
Prkcsh	464	589	389	609	822	857	515	325
Prkdc	1496	1790	1678	1819	1818	1820	1340	1684
Prkg1	928	1208	1174	1008	1388	1195	793	858
Prkg2	536	664	652	681	1099	1402	862	863
Mapk11	149	163	108	176	279	226	159	128
Mapk8ip1	170	158	144	194	200	166	93	105
Eif2ak2	681	963	1000	869	948	951	701	844
Prkx	972	1154	1072	980	1503	1445	1131	951
Prl	0	0	0	0	0	0	0	0
Prl4a1	0	0	0	0	0	0	0	0
Prl6a1	0	0	0	0	0	0	1	1
Prl8a6	0	0	0	0	0	0	0	0
Prl7a1	0	0	0	0	0	0	3	0
Prl7a2	0	0	3	0	0	0	0	0
Prlr	30	31	30	38	38	17	38	36
Prm1	0	2	0	1	0	0	2	0
Prm2	0	0	0	0	0	0	0	0
Prm3	0	0	0	0	0	0	0	0
Prnp	1403	1975	1613	2028	3020	3139	2483	1946
Proc	7	8	7	8	1	5	5	1
Procr	29	49	28	61	154	150	127	71
Prodh	279	290	215	350	437	458	312	235
Prom1	562	770	629	935	350	318	252	309
Prop1	0	0	0	0	0	0	0	0
Pros1	1721	2271	2337	2300	2941	2642	1848	2081
Prox1	0	0	0	0	0	0	0	0
Prh1	0	0	0	0	0	0	0	1
Prph	7	1	1	0	26	28	18	27
Prph2	0	5	0	10	2	3	3	4
Prpf4b	2807	3593	3098	3565	3800	3638	2896	3132
Prps1	270	333	309	361	538	549	508	463
Lgmn	1150	1341	1216	1328	2625	2230	1750	1742
Prss12	183	183	163	221	235	196	211	169
St14	428	581	387	658	904	937	608	465
Klk6	0	0	0	0	0	0	0	0
Tmprss15	2	1	1	0	1	1	0	8
Prtn3	0	2	2	1	24	13	12	10
Prx	1743	2038	1263	1901	5174	4082	2105	1165
Npepps	1084	1371	1116	1371	1669	1482	1087	1156
Psap	5938	7740	5651	8476	10145	8911	5689	5373
Cyth1	1004	1049	897	1285	1328	950	746	759
Helq	218	191	155	222	224	267	179	178
Cyth2	521	623	469	673	921	845	609	530
Cyth3	3038	4246	2726	3530	5078	4281	2740	2070
Psen1	530	734	516	632	908	828	603	461
Psen2	0	0	0	0	0	0	0	0
Psma2	781	1179	1151	1179	1574	1795	1655	1632
Psma3	1007	1433	1426	1457	1765	2131	2174	2050
Psmb1	841	1185	1216	1252	1594	1825	1775	1585
Psmb10	431	567	384	535	600	528	326	277
Psmb4	778	1113	980	1116	1748	2095	1770	1408
Psmb5	301	353	270	408	619	655	568	434
Psmb6	650	873	812	925	1494	1511	1288	1154
Psmb7	750	1025	935	1052	1365	1418	1523	1101
Psmc1	925	1294	1077	1133	2003	2244	1803	1274
Psmc2	460	629	563	643	1023	1287	910	736
Psmc3	931	1318	1144	1183	2289	2515	2110	1565
Psmc3ip	34	62	61	61	75	64	54	60
Psmc5	516	740	510	650	1075	1166	832	637
Psmd4	734	828	718	893	1616	1611	1155	891
Psme1	783	1082	857	1060	1152	1151	894	906
Psme2	451	564	436	580	721	621	482	514
Psme3	447	576	438	594	826	812	627	483
Pipox	7	11	9	19	10	11	4	3
Bpifa2	2	5	0	9	4	3	9	3
Pspn	6	12	6	3	24	22	14	6
Pstpip1	118	115	85	143	155	114	109	89
Pstpip2	98	132	144	186	122	124	127	121
Rhox6	0	0	0	0	0	0	0	0
Ptafr	85	115	133	103	120	96	61	95
Ptbp1	1369	1738	1284	1741	2674	2397	1516	1220
Ptch1	1933	2386	1979	2110	2329	1861	1185	1117
Ptch2	52	55	50	47	116	93	59	58
Ptcra	0	1	0	0	1	0	0	0
Ptdss1	891	936	777	1011	1444	1290	939	790
Pten	4065	4486	4572	4494	5824	5777	4614	4590
Atp12a	0	1	1	2	1	1	3	3
Dicer1	2027	2416	1977	2570	2842	2607	1845	1713
Pter	85	140	90	123	126	81	85	92
